cmMb	pop
0.554656323869629	YRI
0.34365983370427	YRI
0.282579658336177	YRI
0.443953663333121	YRI
0.369426900933263	YRI
0.237040179531851	YRI
0.360256380017666	YRI
0.457328536359471	YRI
0.719285782331761	YRI
1.44395130538321	YRI
0.705125456626921	YRI
1.44008695950147	YRI
1.31382288901995	YRI
1.21073219419219	YRI
0.73317993060585	YRI
0.501768090293735	YRI
1.08196076338028	YRI
0.820150387810592	YRI
0.764628934120906	YRI
0.371436730793642	YRI
0.597386346201562	YRI
0.791534311747535	YRI
0.867150779412222	YRI
0.479729959348411	YRI
1.02467468747881	YRI
0.605075652591969	YRI
0.904185608232519	YRI
0.448272112980821	YRI
0.417120621319952	YRI
0.50013608600651	YRI
0.534619744281702	YRI
0.540075351032402	YRI
0.372554319522212	YRI
0.334184047452256	YRI
0.427320020026655	YRI
0.267305150435012	YRI
0.546591770298123	YRI
0.87530986685331	YRI
0.972600993923193	YRI
0.93606445037593	YRI
1.15052079569781	YRI
1.14503364046857	YRI
1.66765186647731	YRI
0.950430269057866	YRI
1.17844397666341	YRI
1.76201162970417	YRI
0.764750211564497	YRI
0.982845785183094	YRI
1.69238091216541	YRI
1.41589102760945	YRI
1.47066995704596	YRI
0.439963176132406	YRI
2.25840335059118	YRI
1.90034269317073	YRI
0.752155723496034	YRI
1.11563917723867	YRI
1.08516942760352	YRI
0.954323032222544	YRI
1.10893191404882	YRI
1.16892268395619	YRI
1.55200300795654	YRI
1.35929984285412	YRI
1.62203474970382	YRI
1.64130427996932	YRI
1.27808824096285	YRI
1.88437703900412	YRI
1.27774676730376	YRI
2.13190629598369	YRI
1.66878401520179	YRI
1.01319271247626	YRI
0.59651908759849	YRI
0.79826536181988	YRI
0.950450021565962	YRI
1.21013779820003	YRI
0.368865239212764	YRI
0.679285440880598	YRI
0.786483852085482	YRI
1.16732798700808	YRI
0.535401550274153	YRI
0.661747724401697	YRI
0.879876786380799	YRI
0.353224622390888	YRI
0.480386466139511	YRI
0.687240886324647	YRI
0.185541511077799	YRI
0.785336575716921	YRI
0.905840259215968	YRI
1.10374442041643	YRI
0.863310415139125	YRI
0.450907675624346	YRI
1.20848371794861	YRI
0.760773875165324	YRI
0.597740677296713	YRI
